,Start,7,,End,1042,,,0,,,,,,,,,,,
Click Apply to to display data from Start to End,,,,,,FALSE,,,,,,,,,,,,,
HELP,,,,,,RECALC,,,,,,,,,,,,,
,,TRUE,TRUE,FALSE,TRUE,,,TRUE,TRUE,,,,,,,,,,
Select data to graph,,,,,,"AUTO 
ZERO",TRUE,,,,,,,,,,,,
cid,syncdate,dwatts,nwatts,watts,cr,,,,,,,,dwatts,nwatts,,cr,,,
3,41157.71,22.25,20.77,11.32,62.69,,,,,,,,22.25,20.77,#N/A,62.69,,,
3,41157.72,22.73,21.25,0,62.49,,,,,,,,22.73,21.25,#N/A,62.49,,,
3,41157.75,22.73,21.25,0,62.49,,,,,,,,22.73,21.25,#N/A,62.49,,,
3,41157.79,29.07,27.59,11.43,59.81,,,,,,,,29.07,27.59,#N/A,59.81,,,
3,41157.83,31.42,29.94,0,58.82,,,,,,,,31.42,29.94,#N/A,58.82,,,
3,41157.83,31.42,29.94,0,58.82,,,,,,,,31.42,29.94,#N/A,58.82,,,
3,41157.85,31.42,29.94,0.49,58.82,,,,,,,,31.42,29.94,#N/A,58.82,,,
3,41157.88,31.42,29.94,0.91,58.82,,,,,,,,31.42,29.94,#N/A,58.82,,,
3,41157.88,31.42,29.94,0.91,58.82,,,,,,,,31.42,29.94,#N/A,58.82,,,
3,41157.92,31.42,29.94,0,58.82,,,,,,,,31.42,29.94,#N/A,58.82,,,
3,41157.96,31.42,29.94,0,58.82,,,,,,,,31.42,29.94,#N/A,58.82,,,
3,41158.00,31.52,30.02,0,58.8,,,,,,,,0,0,#N/A,58.8,,,
3,41158.04,31.53,30.02,0,58.8,,,,,,,,0.01,0,#N/A,58.8,,,
3,41158.08,31.53,30.02,0,58.8,,,,,,,,0.01,0,#N/A,58.8,,,
3,41158.13,31.53,30.02,0,58.8,,,,,,,,0.01,0,#N/A,58.8,,,
3,41158.13,31.53,30.02,0,58.8,,,,,,,,0.01,0,#N/A,58.8,,,
3,41158.17,31.53,30.02,0,58.8,,,,,,,,0.01,0,#N/A,58.8,,,
3,41158.21,31.53,30.02,0,58.8,,,,,,,,0.01,0,#N/A,58.8,,,
3,41158.22,31.54,30.02,0.27,58.8,,,,,,,,0.02,0,#N/A,58.8,,,
3,41158.25,31.55,30.02,0,58.8,,,,,,,,0.03,0,#N/A,58.8,,,
3,41158.29,31.55,30.02,0,58.8,,,,,,,,0.03,0,#N/A,58.8,,,
3,41158.33,31.55,30.02,0,58.8,,,,,,,,0.03,0,#N/A,58.8,,,
3,41158.38,31.55,30.02,0,58.8,,,,,,,,0.03,0,#N/A,58.8,,,
3,41158.38,31.55,30.02,0,58.8,,,,,,,,0.03,0,#N/A,58.8,,,
3,41158.39,31.55,30.02,0,58.8,,,,,,,,0.03,0,#N/A,58.8,,,
3,41158.42,31.55,30.02,0,58.8,,,,,,,,0.03,0,#N/A,58.8,,,
3,41158.46,33.66,30.02,4.04,58.21,,,,,,,,2.14,0,#N/A,58.21,,,
3,41158.50,37.21,30.02,3.94,57.21,,,,,,,,5.69,0,#N/A,57.21,,,
3,41158.55,39.21,30.02,0,56.66,,,,,,,,7.69,0,#N/A,56.66,,,
3,41158.56,39.22,30.02,0.27,56.66,,,,,,,,7.7,0,#N/A,56.66,,,
3,41158.65,0,0,0,56.66,,,,,,,,0,0,#N/A,56.66,,,
3,41158.67,0,0,0,56.66,,,,,,,,0,0,#N/A,56.66,,,
3,41159.00,0.01,0,0,52.09,,,,,,,,0,0,#N/A,52.09,,,
3,41159.04,0.01,0,0.21,52.09,,,,,,,,0,0,#N/A,52.09,,,
3,41159.08,0.01,0,0,52.09,,,,,,,,0,0,#N/A,52.09,,,
3,41159.13,0.01,0,0,52.09,,,,,,,,0,0,#N/A,52.09,,,
3,41159.17,0.01,0,0,52.09,,,,,,,,0,0,#N/A,52.09,,,
3,41160.01,0.01,0,0,48.06,,,,,,,,0,0,#N/A,48.06,,,
3,41160.04,0.02,0,0,48.06,,,,,,,,0.01,0,#N/A,48.06,,,
3,41160.04,0.02,0,0.21,48.06,,,,,,,,0.01,0,#N/A,48.06,,,
3,41160.08,0.02,0,0,48.06,,,,,,,,0.01,0,#N/A,48.06,,,
3,41160.13,0.02,0,0,48.06,,,,,,,,0.01,0,#N/A,48.06,,,
3,41160.33,0.02,0,0,48.06,,,,,,,,0.01,0,#N/A,48.06,,,
3,41160.46,0.02,0,0,48.06,,,,,,,,0.01,0,#N/A,48.06,,,
3,41160.46,0.02,0,0,48.06,,,,,,,,0.01,0,#N/A,48.06,,,
3,41161.00,0.01,0,0,42.24,,,,,,,,0,0,#N/A,42.24,,,
3,41161.00,0.01,0,0,42.24,,,,,,,,0,0,#N/A,42.24,,,
3,41161.00,0.01,0,0,42.24,,,,,,,,0,0,#N/A,42.24,,,
3,41161.04,0.01,0,0,42.24,,,,,,,,0,0,#N/A,42.24,,,
3,41161.08,0.01,0,0,42.24,,,,,,,,0,0,#N/A,42.24,,,
3,41161.13,0.01,0,0,42.24,,,,,,,,0,0,#N/A,42.24,,,
3,41161.35,0.01,0,0,42.24,,,,,,,,0,0,#N/A,42.24,,,
3,41161.38,0.01,0,0,42.24,,,,,,,,0,0,#N/A,42.24,,,
3,41161.46,0.01,0,0,42.24,,,,,,,,0,0,#N/A,42.24,,,
3,41161.50,0.01,0,0,42.24,,,,,,,,0,0,#N/A,42.24,,,
3,41161.61,0.01,0,0,42.24,,,,,,,,0,0,#N/A,42.24,,,
3,41161.67,0.01,0,0,42.24,,,,,,,,0,0,#N/A,42.24,,,
3,41162.00,0.01,0,0,25.32,,,,,,,,0,0,#N/A,25.32,,,
3,41162.01,0.01,0,0,25.32,,,,,,,,0,0,#N/A,25.32,,,
3,41162.04,0.01,0,0,25.32,,,,,,,,0,0,#N/A,25.32,,,
3,41162.09,0.01,0,0,25.32,,,,,,,,0,0,#N/A,25.32,,,
3,41162.11,0.01,0,0,25.32,,,,,,,,0,0,#N/A,25.32,,,
3,41163.00,0.01,0,0,5.15,,,,,,,,0,0,#N/A,5.15,,,
3,41163.04,0.01,0,0,5.15,,,,,,,,0,0,#N/A,5.15,,,
3,41163.08,0.01,0,0,5.15,,,,,,,,0,0,#N/A,5.15,,,
3,41163.08,0.01,0,0,5.15,,,,,,,,0,0,#N/A,5.15,,,
3,41163.13,0.01,0,0,5.15,,,,,,,,0,0,#N/A,5.15,,,
3,41163.20,1.04,0,0,4.87,,,,,,,,1.03,0,#N/A,4.87,,,
3,41163.54,1.06,0,0,4.87,,,,,,,,1.05,0,#N/A,4.87,,,
3,41163.54,1.06,0,0,4.87,,,,,,,,1.05,0,#N/A,4.87,,,
3,41163.58,1.06,0,0,4.87,,,,,,,,1.05,0,#N/A,4.87,,,
3,41163.61,1.06,0,0,4.87,,,,,,,,1.05,0,#N/A,4.87,,,
3,41163.62,1.06,0,0,4.87,,,,,,,,1.05,0,#N/A,4.87,,,
3,41163.63,1.06,0,0,4.87,,,,,,,,1.05,0,#N/A,4.87,,,
3,41163.67,1.38,0,0,4.79,,,,,,,,1.37,0,#N/A,4.79,,,
3,41163.71,4.95,3.57,0,3.29,,,,,,,,4.94,3.57,#N/A,3.29,,,
3,41163.75,7.86,6.48,18.01,2.06,,,,,,,,7.85,6.48,#N/A,2.06,,,
3,41163.79,12.64,11.26,0,0.05,,,,,,,,12.63,11.26,#N/A,0.05,,,
3,41163.83,12.64,11.26,0,0.05,,,,,,,,12.63,11.26,#N/A,0.05,,,
3,41163.88,12.64,11.26,0,0.05,,,,,,,,12.63,11.26,#N/A,0.05,,,
3,41163.92,12.64,11.26,0,0.05,,,,,,,,12.63,11.26,#N/A,0.05,,,
3,41163.96,12.64,11.26,0.21,0.05,,,,,,,,12.63,11.26,#N/A,0.05,,,
3,41164.00,12.64,11.26,0,0.05,,,,,,,,0,0,#N/A,0.05,,,
3,41164.04,12.64,11.26,0,0.05,,,,,,,,0,0,#N/A,0.05,,,
3,41164.08,12.64,11.26,0,0.05,,,,,,,,0,0,#N/A,0.05,,,
3,41164.13,12.64,11.26,0,0.05,,,,,,,,0,0,#N/A,0.05,,,
