c1,9/6/12,t17.2999999999999,n16.1799999999999,cr405.71
c1,9/6/12,t17.2999999999999,n16.1799999999999,cr405.71
c1,9/6/12,t17.2999999999999,n16.1799999999999,cr405.71
c1,9/6/12,t17.31,n16.1899999999999,cr405.71
c1,9/7/12,t0,n0,cr386.93
c1,9/7/12,t1.22,n0,cr386.6
c1,9/7/12,t1.46,n0,cr386.54
c1,9/7/12,t1.46,n0,cr386.54
c1,9/7/12,t3.46,n1.09,cr385.84
c1,9/8/12,t0,n0,cr362.3
c1,9/8/12,t0,n0,cr362.3
c1,9/8/12,t0,n0,cr362.3
c1,9/8/12,t0.5,n0,cr362.16
c1,9/8/12,t0.66,n0,cr362.12
c1,9/8/12,t56.17,n53.27,cr339.03
c1,9/8/12,t68.4799999999999,n65.57,cr333.84
c1,9/8/12,t68.4799999999999,n65.57,cr333.84
c1,9/9/12,t0,n0,cr318.46
c1,9/9/12,t0,n0,cr318.46
c1,9/9/12,t0,n0,cr318.46
c1,9/9/12,t0,n0,cr318.46
c1,9/9/12,t0,n0,cr318.46
c1,9/9/12,t0,n0,cr318.46
c1,9/9/12,t16.79,n11.74,cr312.14
c1,9/9/12,t18.15,n13.1,cr311.55
c1,9/9/12,t24.0299999999999,n18.99,cr309.04
c1,9/9/12,t25.8899999999999,n20.85,cr308.24
c1,9/9/12,t80.53,n75.48,cr285.22
c1,9/9/12,t94.08,n89.03,cr279.5
c1,9/10/12,t0,n0,cr221.36
c1,9/10/12,t2.69,n0,cr220.64
c1,9/10/12,t13.88,n0,cr217.61
c1,9/10/12,t24.22,n0,cr214.86
c1,9/10/12,t29.58,n0,cr213.42
c1,9/11/12,t0,n0,cr128.79
c1,9/11/12,t0,n0,cr128.79
c1,9/11/12,t0,n0,cr128.79
c1,9/11/12,t0,n0,cr128.79
c1,9/11/12,t1.49,n0,cr128.4
c1,9/11/12,t6.49,n0,cr127.03
c1,9/11/12,t55.2,n0,cr113.99
c1,9/11/12,t55.35,n0,cr113.95
c1,9/11/12,t58.63,n0,cr113.09
c1,9/11/12,t60.3,n0,cr112.64
c1,9/11/12,t61.11,n0,cr112.43
